,IP,ASN
611151,192.80.60.0,AS-PISD-8 - Pearland Independent School District
611152,192.80.61.0,AC-CHARTER-WINDTREAM - Assumption College
611155,192.80.64.0,SMCVT - St Michael's College
611161,192.80.70.0,VPHARM - Vertex Pharmaceuticals
611165,192.80.75.0,"CSQUARED - C Squared Systems, LLC"
611177,192.80.96.0,UC2B - UC2B
611201,192.80.251.0,PACIFIC-GAS - PG&E
611206,192.81.10.0,AS-NABP - NABP
611210,192.81.15.0,AS-INTERNEXE-1 - iTeract inc.
611221,192.81.46.0,"ACCESS-CABLE - Access Cable Television, Inc."
611223,192.81.49.0,CITYOFGI - City of Grand Island
611227,192.81.54.0,RBBSTEL-R7NET - RBBS Telecom Inc.
611228,192.81.55.0,SWIFTINTERNET - 0764016 B.C. Ltd.
611231,192.81.60.0,HARVEYBP - Harvey Building Products
611236,192.81.66.0,WHISTLERBLACKCOMB-1 - Whistler Blackcomb Holdings Inc.
611240,192.81.71.0,NPLUSNETWORKS - NPlus Networks
611244,192.81.76.0,PEER9NET - Peer9
611250,192.81.89.0,ENTREC-CORPORATION - ENTREC Corporation
611255,192.81.95.0,"SOLIDNETWORKS - Solid Networks, Inc"
611258,192.81.98.0,INVALUABLE-ASN1 - Invaluable
611261,192.81.101.0,"STERICYCLE - STERICYCLE, INC."
611271,192.81.115.0,SIGHTLIFE - SightLife
611272,192.81.116.0,"YIPTEL - YIPTEL, L.L.C."
611288,192.81.140.0,"BABC - Bradley Arant Boult Cummings, LLP"
611291,192.81.143.0,"CFG - Cetera Financial Group, Inc."
611297,192.81.161.0,"PRIMELENDING-EXT - PrimeLending, A PlainsCapital Company"
611302,192.81.167.0,COUNTY-OF-BERKS - County of Berks
611305,192.81.172.0,"AS-UPTIME - UptimeArchive, Inc."
611311,192.81.181.0,ACCLARIS-BGP-AS - Acclaris Inc
611332,192.81.228.0,FABFIBERNET - Fabulous Fiber LLC
611337,192.81.235.0,NEUMANN-UNIVERSITY - Neumann University
611348,192.81.247.0,"T2OE-1 - TAKE-TWO INTERACTIVE SOFTWARE, INC."
611356,192.81.255.0,"K12ITC - k12 ITC, Inc."
611358,192.82.102.0,PHLAIRPORT - Philadelphia International Airport
611364,192.82.111.0,UCDAVIS-CORE - University of California at Davis
611367,192.82.114.0,GPHEALTH - Great Plains Health
611371,192.82.120.0,WILLAMETTE - Willamette University
611373,192.82.122.0,TWCS - Time Warner Cable Sports Inc
611376,192.82.128.0,UTORONTO-AS - University of Toronto
611378,192.82.133.0,VGRS-AC21 - VeriSign Global Registry Services
611386,192.82.146.0,"TCDI - Technology Concepts & Design, Inc."
611388,192.82.150.0,BRAMPTON - City of Brampton
611390,192.82.152.0,"AVANTCREDIT - Avant, Inc."
611393,192.82.157.0,Montanuniversitaet Leoben
611403,192.82.211.0,"AS-OUTBRAIN - Outbrain, Inc."
611414,192.82.245.0,"BASSPRO-AS - Bass Pro, LLC."
611422,192.83.103.0,BNSF-LOGISTICS - BNSF Logistics LLC
611427,192.83.113.0,UBX-DT1 - UBX Cloud
611446,192.83.156.0,PROTO-LABS - Proto Labs
611450,192.83.164.0,DAYBREAKVENTURE - Daybreak Venture L.L.C.
611451,192.83.165.0,RAJF
611469,192.83.211.0,A2X
611470,192.83.212.0,Sense-Telecommunications
611480,192.83.232.0,MOREHOUSEMEDICAL - Morehouse School of Medicine
611487,192.83.245.0,MWIECOM - MWI Veterinary Supply Co.
611490,192.83.249.0,ASN-BUNGI - Bungi Communications
611492,192.83.252.0,STSCI-NET - Space Telescope Science Institute
611496,192.84.1.0,GLOBAL-US - GlobalLogic Inc.
611497,192.84.2.0,UPENN - University of Pennsylvania
611501,192.84.6.0,"BP-1 - BridgePay Network Solutions, LLC"
611512,192.84.19.0,"8X8-AS - 8x8, Inc."
611520,192.84.34.0,"ILLUMINA - ILLUMINA, INC."
611523,192.84.39.0,NETWORK-SOLUTIONS - InterNIC Registration Services
611531,192.84.53.0,TARRANTCOUNTYTX-GOV - Tarrant County
611532,192.84.54.0,"HALEYALDRICH-AS - Haley & Aldrich, Inc."
611541,192.84.70.0,WANG-US-1 - Compucom Systems
611549,192.84.88.0,CPMHGASN - Customer Potential Management Corporation
611552,192.84.100.0,"THECBEGROUP - THE CBE GROUP, INC"
611557,192.84.110.0,IDEAPS-TX - IDEA Public Schools
611579,192.84.175.0,ATO - Atlantic Business Products
611587,192.84.218.0,JCC-13-AS - JCC
611591,192.84.225.0,CMNJ-ASN - County of Morris OIT
611596,192.84.236.0,AS-MAX - MaXess Networx
611598,192.84.243.0,"MEADOWRIDGE-NETWORKS - Heaven Express, LLC"
611600,192.84.249.0,RI
611685,192.86.1.0,ERI-CANADA - Ericsson Inc.
611687,192.86.3.0,"AS-REDCOM-NET - REDCOM Laboratories, Incorporated"
611691,192.86.22.0,"MAGENICHQ - Magenic Technologies, Inc"
611709,192.86.51.0,UNICA-ONDEMAND - IBM
611728,192.86.81.0,FRONTIER-AIRLINES-INC - FRONTIER AIRLINES INC
611750,192.86.118.0,"DNIC-ASBLK-01488-01489 - Headquarters, USAISC"
611758,192.86.130.0,ASN1 - AMERICAN RESIDENTIAL SERVICES L.L.C.
611781,192.86.255.0,QUANTUM-HEALTH - Quantum Health Inc
611792,192.88.11.0,UTHEALTHCENTER-TYLER - University of Texas Health Science Center at Tyler
611795,192.88.15.0,ISS-GOVERNANCE - ISS Governance
611796,192.88.16.0,CARAHSOFT - Carahsoft Technology Corp.
611800,192.88.20.0,ICUC001 - iControl Systems USA LLC
611827,192.88.54.0,SUNGARD-PUBLIC-SECTOR - SunGard Public Sector Inc.
611851,192.88.78.0,"IDD - IDD Enterprises, LP"
611854,192.88.83.0,FIDO-ANYCAST
611879,192.88.121.0,"ADVANCED-ICU-CARE - Advanced ICU Care, Inc."
611884,192.88.132.0,AAO-AIO - Amphenol Corp
611893,192.88.141.0,NMSU - New Mexico State University
611923,192.88.174.0,"FREESCALE-AZ - Freescale Semiconductor, Inc."
611927,192.88.180.0,SCGASN - Skill City Games
611929,192.88.186.0,MDLAND-BGP-ASN - MDLand International
611939,192.88.198.0,"SHV1 - Sports South, L.L.C."
611943,192.88.210.0,CERT - Software Engineering Institute
611960,192.88.255.0,CFCU-CORP - Clearview Federal Credit Union
611995,192.91.0.0,VISONEX-LLC - Visonex LLC
612000,192.91.63.0,TID-AS
612039,192.91.186.0,"DEMOS-AS Demos, Moscow, Russia"
612048,192.91.199.0,DICO
612050,192.91.204.0,CHILDRENSOMAHA - Children's Hospital & Medical Center
612072,192.91.234.0,CALITECH - Calitech
612073,192.91.235.0,BROWN - Brown University
612080,192.91.249.0,"ROEHL-AS - ROEHL TRANSPORT, INC."
612084,192.91.255.0,APM-442 - ADVANTAGE DENTAL CLINICS
612086,192.92.8.0,"3NG-NET1-MIA - 3NG Networks, LLC."
612090,192.92.13.0,AQUINA-001 - Aquinas College
612093,192.92.17.0,LARIMER-ASN - Larimer County Government
612100,192.92.87.0,"ICNET - Ideal Concepts, Inc."
612119,192.92.117.0,9-11-MEMORIAL - 9/11 MEMORIAL
612122,192.92.122.0,WVU - West Virginia University
612125,192.92.125.0,AS_AT_TLD_SERVICES Vienna University
612135,192.92.140.0,"CS-ASN16 - Clearwater Services, Inc."
612151,192.92.157.0,ESL-FARM-AS - ESL Federal Credit Union
612153,192.92.159.0,ATIMETALS - Allegheny Technologies Incorporated
612165,192.92.189.0,AS2143 - National Aeronautics and Space Administration
612176,192.92.214.0,MSFT - Microsoft Corporation
612180,192.92.246.0,IRONCLOUD - IRON MOUNTAIN INCORPORATED
612182,192.92.248.0,AS45677
612187,192.93.8.0,FR-RENATER-LOTHAIRE Reseaux Regionaux StanNet et AmperNet
612194,192.93.37.0,AS_SANTE-INFORMATIQUE-BRETAGNE
612204,192.93.122.0,FR-INRIA-ROCQ Institut National de Recherche en Informatique
612206,192.93.124.0,CEA-Saclay
612230,192.93.212.0,FR-RENATER-SYRHANO-2 Reseau Regional SYRHANO 2
612234,192.93.219.0,FR-U-ANGERS ASNBLOCK2
612239,192.93.248.0,FR-U-STRASBOURG OSIRIS - UNIVERSITE DE STRASBOURG
612241,192.93.254.0,FR-REMIP2000 REMIP 2000 Autonomous System
612244,192.94.22.0,SPOKANE - Washington State University
612257,192.94.37.0,MENTOR-GRAPHICS-AS
612258,192.94.38.0,MENTORGRAPHICS - Mentor Graphics Corporation
612262,192.94.45.0,CTDI-WC - CTDI
612271,192.94.65.0,AS1254 - National Aeronautics and Space Administration
612274,192.94.68.0,INTRACOM
612277,192.94.71.0,CITYOFDAVIS - City of Davis
612278,192.94.72.0,TOWNOFBROOKHAVEN - Town of Brookhaven
612296,192.94.110.0,USSFCU-AS - United States Senate Federal Credit Union
612299,192.94.119.0,PARSONS-PGS-2 - Parsons Corporation
612303,192.94.124.0,WSMEDIA - World Streamedia Inc.
612317,192.94.169.0,BSPG-AS-AP BLUE STAR GROUP (NEW ZEALAND) LIMITED
612318,192.94.170.0,"INOC - INOC, LLC"
612323,192.94.202.0,"XKL-NET-AS - XKL, LLC"
612326,192.94.206.0,ESET-LLC - ESET LLC
612334,192.94.214.0,PARSONS-PGS-1 - Parsons Corporation
612341,192.94.233.0,EUROSHINA-AS
612350,192.94.249.0,NYBLOODCTR - New York Blood Center
612352,192.94.251.0,WEBSAN-ON-PRIMARY - WEBSAN SOLUTIONS INC
612354,192.94.253.0,"NEXTJUMPINC - Next Jump, Inc."
612359,192.95.66.0,3268120-NSC - 3268120 Nova Scotia Company
612364,192.95.80.0,DARKNESS-REIGNS-AS
612367,192.95.113.0,"WHOLE-AS - WholesaleBandwidth, Inc."
612371,192.95.127.0,"AFFTRACK - AffTrack, Inc"
612399,192.96.36.0,"GLENVIEW-CAPITAL - Glenview Capital Management, LLC"
612403,192.96.41.0,GEN4 - MemorialCare Health System
612412,192.96.59.0,"PDRINET1 - Personnel Decisions Research Institutes, Inc."
612418,192.96.73.0,BROWNSVILLE-PUBLIC-UTILITIES-BOARD - Brownsville Public Utilities Board
612434,192.96.103.0,TRABON-SOLUTIONS - Trabon Solutions
612444,192.96.139.0,AS65610
612464,192.96.176.0,TRILLIUM-STAFFING - Trillium Staffing
612465,192.96.177.0,POSIX-AFRICA
612467,192.96.192.0,UCDP-ORLCORP - Universal Orlando
612474,192.96.233.0,"BBV - Broadband Visions, LLC"
612485,192.96.244.0,"MLKJAMHC - Martin Luther King Jr., Healthcare Corporation"
612517,192.98.101.0,TUTNET TUT Autonomous System
612528,192.98.120.0,ELTRONA
612531,192.100.0.0,NETDOCUMENTS-US - NetDocuments
612551,192.100.51.0,"DOE-NTS-AS - USDOE, NV Operations Office"
612558,192.100.60.0,CFRDC-MFICORE - Crystal Farms Refrigerated Distribution Company
612574,192.100.82.0,"ALURA - Alura Business Solutions, LLC"
612576,192.100.87.0,8DTECH2 - 8D Technologies Inc.
612587,192.100.135.0,NEWCASTLE-UNI-NUSAJAYA-CAMPUS
612589,192.100.140.0,JANET-AP Jisc Collections and Janet Limited
612593,192.100.153.0,"BA-346-78 - BT Americas, Inc"
612596,192.100.157.0,COMPAÑÍA FINANCIERA ARGENTINA S.A.
612607,192.100.169.0,Servicios DR de México SA de CV
612609,192.100.171.0,SECRETARIA DE ESTADO EN EL DESPACHO DE FINANZAS
612614,192.100.176.0,"Grupo Bimbo, S.A.B. de C.V."
612615,192.100.177.0,TRIBUNAL REGIONAL DO TRABALHO DA 3A REGIAO
612620,192.100.182.0,Dole Shared Services Limited
612623,192.100.187.0,Universidad Nacional de Misiones
612633,192.100.198.0,CEVA LOGISTICS LTDA
612635,192.100.200.0,Universidad Nacional Autonoma de Mexico
612641,192.100.206.0,INTELBRAS S.A. INDUSTRIA DE TELECOMUNICACAO ELETRO
612643,192.100.208.0,"Ternium Mexico, S.A. de C.V."
612654,192.100.229.0,GIGACOM DO BRASIL LTDA
612661,192.100.247.0,FUNDACAO DE ENSINO E PESQ SUL DE MINAS
612662,192.100.248.0,UNIMED PORTO ALEGRE COOPERATIVA MEDICA LTDA
612664,192.100.251.0,UNIVERSIDADE SEVERINO SOMBRA
612666,192.100.253.0,Tribunal Regional do Trabalho 13a. Regiao
612673,192.101.10.0,NEWPIRVINE - Newport Corporation
612675,192.101.18.0,VIRGINIA-COMMUNITY-COLLEGE-SYSTEM - Virginia Community College System
612688,192.101.45.0,"GWNCT - Goodwill of Western and Northern Connecticut, Inc"
612690,192.101.73.0,SHS-NET-1 - SAMARITAN HEALTH SERVICES
612692,192.101.75.0,NORIS-NETWORK-ASIA
612694,192.101.77.0,"TUCSONVAISALA - Vaisala, Inc."
612696,192.101.79.0,ESA-ASN-16800822 - Environmental Science Associates
612707,192.101.90.0,PHILIPS-INTERNET
612713,192.101.108.0,AS3428
612719,192.101.119.0,"GAS-SBC - Guardian Alarm Systems, Inc."
612738,192.101.138.0,MM-CORP-ASN - Money Mailer LLC
612740,192.101.140.0,PSCNET-HS-AS - Pittsburgh Supercomputing Center
612742,192.101.143.0,ST-LUKES-HOSPITAL - St. Luke's Hospital
612764,192.101.186.0,LAMBNET - XtcN
612766,192.101.188.0,"FIVE-COLLEGE-DATA-NETWORK-AS - Five College Net, LLC"
612776,192.101.255.0,ALDINEISD-ASN01 - Aldine Independent School District
612780,192.102.6.0,HVDS-AS
612814,192.102.83.0,"NONTRINET-AS-AP Kasetsart University, Thailand"
612816,192.102.85.0,"TRUHEARINGWJ - TruHearing, Inc"
612825,192.102.148.0,RWTH-AS
612837,192.102.166.0,FRAUNHOFER-MUENCHEN
612843,192.102.172.0,FRAUNHOFER-CLUSTER-BW Research Institutes spread all over Germany
612869,192.102.222.0,"SEABOARDMAIRNE-AS - Seaboard Marine, Ltd. Inc."
612874,192.102.230.0,UIS-AS - University of Illinois at Springfield
612884,192.102.254.0,CLOUDPBX-VAN - CloudPBX
612885,192.102.255.0,CLOUDPBX-TOR - CloudPBX
612919,192.103.104.0,TS-YHTYMA
612925,192.103.110.0,TURUNKAUPUNKI
612938,192.103.153.0,PIERCE-COUNTY - Pierce County
612952,192.103.189.0,PORT-OF-TACOMA-ASN - Port of Tacoma
612987,192.103.251.0,"ASGN - On Assignment, Inc."
612998,192.104.15.0,AS7564
613000,192.104.18.0,"PILOT - Pilot Fiber, Inc."
613005,192.104.24.0,"ANSYS - ANSYS, INC"
613009,192.104.37.0,TEIXEIRAEDUARTE-AS
613011,192.104.39.0,MBG-AS - Missouri Botanical Garden Board of Trustees
613020,192.104.49.0,METHODIST-HEALTH-SYSTEM - Methodist Health System
613028,192.104.65.0,OPNET - OPNET Technologies
613037,192.104.110.0,"TEAMTECH - Team Technologies, LLC"
613038,192.104.111.0,TOUCHTONE-NEWARK - TouchTone Communications
613045,192.104.147.0,ASAUTHNET AUTH-NET-AS
613046,192.104.148.0,VALLEY-PRESBYTERIAN-HOSPITAL - VPH
613048,192.104.151.0,AS64042
613054,192.104.162.0,PRESTIGEFINANCIAL1420 - Prestige Financial Services
613063,192.104.181.0,MUHLENBERG-COLLEGE - Muhlenberg College
613070,192.104.234.0,MSC-HQ - MSC Inc
613078,192.104.255.0,"CHROME-DATA-SOLUTIONS - Chrome Data Solutions, LP"
613091,192.106.196.0,AS5502
613097,192.107.0.0,TASTE-2-ASN - Tastefully Simple
613103,192.107.28.0,BCUS - BARCLAYS FINANCIAL CORP.
613108,192.107.41.0,IGLOU - IgLou Internet Services
613110,192.107.43.0,TESC-WEB - Thomas Edison State College
613113,192.107.46.0,SPC-12 - Saint Peter's University
613114,192.107.47.0,UW-MILWAUKEE-AS1 - University of Wisconsin - Milwaukee
613123,192.107.102.0,UCB-1 - University of California at Berkeley
613129,192.107.111.0,"MCS-PUBLIC-NET - Medical Card System, Inc."
613136,192.107.120.0,CAPENET - CapeNet LLC
613143,192.107.134.0,TRINCOLL-AS - Trinity College
613144,192.107.135.0,NPGCO-KRDO - News-Press & Gazette Company
613159,192.107.172.0,ERX-KAWAIHIKO-1 The University of Waikato
613160,192.107.173.0,AS-DCPA - Denver Center for the Performing Arts
613169,192.107.191.0,AS1749 - National Aeronautics and Space Administration
613180,192.107.241.0,"OTC-ASN-DC2 - Oriental Trading Company, Inc."
613184,192.107.245.0,SFM - SFM Mutual Insurance Company
613192,192.107.255.0,ULTRADENT-PRODUCTS - Ultradent Products Inc
613208,192.108.16.0,CSE-MORRISTOWN - College of St. Elizabeth
613227,192.108.50.0,KAPPACOMPUTERSYSTEMSLLC - Kappa Computer Systems LLC
613233,192.108.68.0,KIT-GRIDKA
613241,192.108.92.0,KIEZ-AS
613249,192.108.114.0,DUTHNET-AS
613253,192.108.118.0,TELECOM-BRETAGNE-BREST
613254,192.108.119.0,"FR-RENATER-TELECOM-RENNES TELECOM Bretagne, Campus Rennes"
613257,192.108.124.0,AS1475
613260,192.108.127.0,IMPAQ-INTERNATIONAL - IMPAQ International LLC
613297,192.108.227.0,22ND-DAA - 22nd District Agricultural Association
613305,192.108.242.0,UTMDACC - The University Of Texas M.D. Anderson Cancer Center
613310,192.108.255.0,GCORE
613335,192.109.45.0,COLBY-SAWYER - Colby-Sawyer College
613340,192.109.51.0,DPAG-AS Deutsche Post AG
613371,192.109.103.0,"STXHMS - STX Healthcare Management Services, Inc."
613372,192.109.104.0,LMC-BH - Lake Michigan College
613374,192.109.106.0,BIOS
613383,192.109.121.0,FREUDENBERG-AS
613395,192.109.140.0,SAINTGOBAIN
613397,192.109.143.0,SAINTGOBAIN_
613425,192.109.195.0,EISENMANN-SE
613453,192.109.246.0,ASCOMLINE
613458,192.110.0.0,LUXBRIDGE - Luxbridge LLC
613462,192.110.32.0,INTERNETARENA-GW - Internet Arena
613470,192.110.151.0,PSL-IN-US - POLARIS SOFTWARE LAB (INDIA) LTD
613474,192.110.155.0,CCS-COLO - Customer Contact Services
613475,192.110.156.0,"ASNOWYR-1 - Nowyr, inc."
613487,192.110.171.0,"COMPASSMSP - CompassMSP, LLC."
613488,192.110.172.0,WITG - Western I.T. Group Inc.
613490,192.110.192.0,BROADBAND-INC-AS - BroadNet connect
613507,192.111.31.0,AMTA-AS1 - The Albany Mutual Telephone Association
613522,192.111.56.0,BOARD-OF-ELECTIONS-IN-THE-CITY-OF-NEW-YORK - Board of Elections in the City of New York
613526,192.111.86.0,AF-RASN-65 - 754th Electronic Systems Group
613535,192.111.111.0,MAINE-MUNICIPAL-ASSOCIATION - Maine Municipal Association
613558,192.111.214.0,ALPINEWEB - AlpineWEB
613565,192.111.222.0,NCHE - American Council on Education
613573,192.111.230.0,Petróleo Brasileiro S/A - Petrobras
613596,192.111.253.0,"GLOBALCONNECTIONS-AS - Global Connections, Inc"
613611,192.112.29.0,OAHPP - Ontario Agency for Health Protection and Promotion
613615,192.112.37.0,"ONE-P1 - OneChicago, LLC"
613621,192.112.48.0,LG-03279 - Liggett Group LLC
613630,192.112.66.0,THENATUREORG-1 - The Nature Conservancy
613633,192.112.69.0,ASN-SDMCU - San Diego Metropolitan Credit Union
613655,192.112.180.0,WPLG-TV - WPLG-TV
613707,192.114.39.0,VISA-ISRAEL-AS
613738,192.114.150.0,NICE-AS
613739,192.114.152.0,ORBOGRAPH-AS
613757,192.115.44.0,INTERNET_BINAT
613764,192.115.80.0,YEDIOT-AS
613781,192.115.103.0,MOFET-AS
613787,192.115.136.0,TELEALL-AS
613800,192.115.179.0,IAA-AS
613801,192.115.180.0,RADWARE-AS
613807,192.115.211.0,ISOC-IL-AS
613808,192.115.212.0,TOWER-AS
613814,192.115.240.0,LUMENIS-AS
613818,192.115.250.0,TEVA-AS
613819,192.115.251.0,"TEVA-NA - Teva Pharmaceuticals USA, INC"
613820,192.115.252.0,AS12802
613893,192.117.80.0,MACHBA-AS ILAN
613905,192.117.208.0,"former IsraCom, Pardes Hana, Israel"
613913,192.118.3.0,MAARIV-AS
613917,192.118.12.0,ISRACARD-AS
613919,192.118.20.0,SODACLUB-AS
613923,192.118.27.0,ORBOTECH-AS
613929,192.118.35.0,NDS-AS
613932,192.118.38.0,ASN-PHOENIX # AS-PHOENIX CONVERTED TO ASN-PHOENIX FOR RPSL COMPLIANCE
613936,192.118.43.0,COMMTOUCH-ASN
613943,192.118.63.0,IFAT-AS
613947,192.118.67.0,RANDOM-LOGIC-AS
613954,192.118.75.0,IBO-AS
613958,192.118.82.0,TELETEL-AS
613964,192.118.91.0,NETAFIM-AS
613968,192.118.95.0,ORDERNET-AS
613969,192.118.96.0,12 Yad-Harutzim Street
613970,192.118.100.0,NETANYA-COLLEGE-AS
613972,192.118.112.0,AMSALEM-AS
613974,192.118.118.0,INTERWISE-AS
613979,192.118.131.0,ALADDIN-AS former Safenet Knowledge Systems (Israel) Ltd
613989,192.119.32.0,WNMC - WNM Communications
614001,192.119.144.0,MCTC1 - Mid Century Communications
614017,192.119.175.0,MADGEN-01 - Madgenius.com
614019,192.119.184.0,NUMEREX - Numerex Corp
614156,192.121.60.0,VARGARDA-NET
614181,192.121.90.0,REMOTE24-AS
614205,192.121.119.0,EDS-
614206,192.121.120.0,SE-LM
614267,192.121.194.0,SVERIGES-RADIO Sveriges Radio AB
614273,192.121.200.0,UNIBET-AS
614279,192.121.216.0,PTS-AS
614306,192.121.248.0,ERIKLARSSON
614312,192.122.0.0,BOZZ-275-CT - Bozzuto's Incorporated
614325,192.122.149.0,ACI - ACI
614326,192.122.150.0,"PALOS-GARZA - Palos Garza Forwarding, LLC"
614354,192.122.215.0,QUALITYINSIGHTS - Quality Insights Inc.
614361,192.122.236.0,CORNELL - Cornell University
614362,192.122.237.0,NKU-AS1 - Northern Kentucky University
614369,192.122.246.0,NW-NATURAL-GAS - Northwest Natural Gas
614394,192.124.29.0,"CEC-AS-NB-4080 - Cutting Edge Computers, INC."
614398,192.124.35.0,UNT-CAMPUS-AS - University of North Texas
614401,192.124.42.0,UNDP - UNDP
614426,192.124.127.0,"WINDRIVER - Wind River Systems, Inc."
614428,192.124.129.0,THREATSTOP - ThreatSTOP
614430,192.124.132.0,"FF-AS01 - Flying Horse Holdings, LLC"
614434,192.124.156.0,HBO-MIA - HBO Latin America Production Services L.C.
614439,192.124.165.0,SUNSASN - THE PHOENIX SUNS
614453,192.124.184.0,ELEKTRA-AS Elektra network
614462,192.124.216.0,EMBANK-AS
614478,192.124.236.0,PAULSON-CO - Paulson & CO. INC.
614528,192.126.69.0,ODESSA-TX - City of Odessa
614536,192.126.79.0,"AS-THECYBERWEB - The Cyber Web, Inc."
614546,192.126.89.0,"AS-PNN-NET - Point North Networks, Inc."
614566,192.126.128.0,"BIGTIP - BigTip, Inc."
614582,192.127.252.0,NCR-252 - NCR Corporation
614585,192.128.134.0,ATT-ITSNCS-1 - AT&T Solutions ITS/NCS
614590,192.129.0.0,PASHA-SNR - THE PASHA GROUP
614609,192.129.33.0,Darmstaedter Landstrasse 184
614624,192.129.76.0,LSNB - Lone Star National Bank
614649,192.131.5.0,"EFS-AS1 - Edelman Financial Services, LLC"
614660,192.131.44.0,AS-WHATBOX-CA - Whatbox Inc.
614690,192.131.99.0,NET-OHIO-BWC - Ohio Bureau of Worker's Compensation
614694,192.131.107.0,OTVM-AS-01 - Optiv
614696,192.131.109.0,AIMCO-ASN - Alberta Investment Management Corporation
614715,192.131.134.0,IGWAN-BL-AS - IGWAN.NET
614719,192.131.140.0,UTASC - UMPQUA BANK
614725,192.131.153.0,"PEABODY-COAL-ASN - Peabody Holding Company, LLC"
614749,192.131.234.0,SIRS01 - 9013-6573 Quebec inc.
614753,192.131.255.0,SEABOARDCORP - SEABOARD CORPORATION
614754,192.132.0.0,OL - Objectif Lune Inc.
614769,192.132.27.0,CMSSTL - Correctional Medical Services
614774,192.132.32.0,BIDTELLECT - Bidtellect Inc.
614778,192.132.44.0,FISD-NOC - Forney Independent School District
614783,192.132.59.0,"IQT1 - In-Q-Tel, Inc."
614792,192.132.84.0,AS1510
614816,192.132.206.0,NPPDNET - Nebraska Public Power District
614818,192.132.208.0,UN - United Nations
614822,192.132.212.0,"SMS-ASSIST - SMS Assist, L.L.C."
614839,192.132.230.0,COLGATE - Colgate-Palmolive Co.
614845,192.132.243.0,"IMO - PageBites, Inc."
614847,192.132.245.0,INGRAMMICRO
614851,192.132.253.0,IDP-AS-AP IDP Education Pty Ltd
614853,192.132.255.0,"SECOENERGY - Sumter Electric Cooperative, Inc."
614855,192.133.1.0,SLYCE-HOLDINGS - Slyce Acquisition Inc.
614876,192.133.45.0,BAYCREST - Baycrest
614878,192.133.47.0,"SW24-MOON - Securewatch24, LLC"
614880,192.133.49.0,"BVI-AS1 - Broadway Video, Inc."
614884,192.133.62.0,PAR-TECHNOLOGY-CORPORATION - PAR Technology Corporation
614887,192.133.72.0,"EFTSOURCE2008 - EFT Source, Inc."
614889,192.133.75.0,"SICOM-ASN - SICOM Systems, Inc"
614894,192.133.82.0,"SAVECOM - Savecom Telecom, Inc"
614909,192.133.107.0,SFPCU-AS-SF-POLICE-CREDIT-UNION - SFPCU
614933,192.133.172.0,CSN-EAST - CSN Support Services
614937,192.133.197.0,CIRL - CSN Support Services
614948,192.134.0.0,NIC-FR-DNS-UNICAST-PARIS2 AFNIC (Association Francaise pour le Nommage Internet en Cooperation)
614957,192.134.95.0,NIC-FR-SITES-SQY-TH3 AFNIC (Association Francaise pour le Nommage Internet en Cooperation)
614976,192.135.0.0,QTRADE-CAPITAL - QTrade Capital Partners LLC
614992,192.135.54.0,PYRANAH-COMMUNICATIONS - Pyranah Communications
614994,192.135.60.0,"I-NET-USA - I-NET USA, LLC"
614995,192.135.62.0,SHOESHOW-AS-1 - SHOE SHOW Inc.
615004,192.135.86.0,"NUANCE-NOD - NUANCE COMMUNICATIONS, INC"
615011,192.135.93.0,ARCOS-COL-ASN - Arcos LLC
615024,192.135.123.0,CPPIB-AS - Canada Pension Plan Investment Board
615040,192.135.166.0,HCMR-NET
615046,192.135.176.0,NYSDOH - New York State Department of Health
615053,192.135.183.0,4JNET - Eugene School District 4J
615058,192.135.189.0,"PICS - Professional Implementation Consulting Services, Inc."
615063,192.135.194.0,MOVACI-TDC-US1 - Movaci Technology
615064,192.135.196.0,"IHIE-5 - Indiana Health Information Exchange, INC"
615071,192.135.206.0,HURLEY-MEDICAL-ASN - Hurley Medical Center
615078,192.135.213.0,DQNAS - Duquesne University
615084,192.135.223.0,NS1-INFRA - NSONE Inc
615085,192.135.224.0,MMH - Madison Co Memorial Hospital
615087,192.135.227.0,BECPL - Buffalo & Erie County Public Library
615098,192.135.248.0,XEROX-XLS - Xerox-XLS
615101,192.135.251.0,DTSNETWORKS - Digital Technology Solutions LLC
615104,192.135.254.0,TORMAN-COM Torun Regional Computer Network
615106,192.136.0.0,"MIMC - Infirmary Health System, Inc."
615118,192.136.22.0,BERKLEE-AS - Berklee College of Music
615120,192.136.24.0,AOCNET - Architect of the Capitol
615127,192.136.50.0,"FISERV-EFT - Fiserv Solutions, Inc."
615130,192.136.53.0,BAYTEX-CALGARY-ASN - Baytex Energy Ltd.
615138,192.136.66.0,BAC-NPC - Bank of America
615141,192.136.70.0,STATE-OF-COLORADO-MNT-NETWORK - State of Colorado General Government Computer
615142,192.136.71.0,ELISA-VIDERA
615147,192.136.103.0,SCCU - Sierra Central Credit Union
615155,192.136.113.0,EXPRESSSERVER-INTERNET - Express Employment Professionals
615156,192.136.114.0,OKANAG-1-ASN - Okanagan College
615158,192.136.118.0,WWWROCKFORD - Wolverine Worldwide
615168,192.136.148.0,RICE-AS - Rice University
615170,192.136.153.0,RICE-AS1700 - Rice University
615172,192.136.157.0,FCGH-AS - Forrest County General Hospital
615189,192.136.175.0,UNITELINC - Unitel Inc
615212,192.137.114.0,BAQMD-SF - Bay Area Air Quality Management District
615225,192.138.0.0,"CIC-PLUS-INC - CIC PLUS, INC"
